,대여소번호,일별대여평균이용량,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이
51,582,33.06438356164384,30431.85,2298.48,0.0,0.0,0.0,0.0,0.0,0.0,236.68845560002487,1454.2868952306571,390.1783091828564,15.133931470482308,0.0,8670.707,162.86199501997575
52,583,1081.230970815962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.1291514991854,1054.0922158704402,267.2832943225556,125.4608914716867,0.5,13731.921,9.745410454380352
53,589,71.77260273972603,0.0,3190.23,0.0,0.0,6822.77,0.0,0.0,4013.78,199.65744935692996,1688.7250352940207,102.4533692597634,33.26345287204924,0.0,11055.34,221.4171752219505
54,594,12.173972602739726,0.0,880.32,0.0,0.0,0.0,0.0,0.0,0.0,193.9373092975004,632.0295196576503,652.5751237573062,387.12313351271064,0.5,5523.276,0.0
55,586,16.946575342465753,0.0,4861.82,0.0,0.0,2989.4,0.0,20348.75,0.0,23.581357252532488,866.8831411229119,244.78321127083524,176.89082300148354,2.5,21940.566,207.765556970306
56,587,30.615068493150684,0.0,2214.24,0.0,0.0,4891.5,0.0,0.0,0.0,30.780559174047628,1386.3420745292115,311.5072138535005,97.82144165344634,0.0,11055.34,188.3982432280725
57,567,69.46438356164384,0.0,3190.23,0.0,0.0,6822.77,0.0,0.0,4013.78,199.65744935692996,1688.7250352940207,102.4533692597634,33.26345287204924,0.0,11055.34,221.4171752219505
58,568,67.66986301369863,0.0,0.0,0.0,0.0,0.0,0.0,34543.14,0.0,101.11489072362512,1621.0749830814764,481.3825601486628,42.14694595596875,2.0,39410.354,274.07364120066086
59,564,2.9383561643835616,0.0,1205.2,0.0,0.0,0.0,0.0,9440.23,0.0,198.66498470622244,1755.833947385131,66.52620406577896,81.09234032842238,4.5,22576.7873333333,127.27543223364516
60,565,107.0890410958904,0.0,1455.13,0.0,0.0,1238.26,0.0,13946.33,0.0,52.79067931231072,2293.649741527847,105.29000665229182,23.126229445372736,1.66666666666667,13709.231,356.7568576519732
61,579,31.747945205479454,0.0,3104.26,0.0,0.0,0.0,0.0,4859.03,0.0,320.2271423295832,717.4517981454034,139.79067434231146,59.113385444293804,2.75,21940.566,178.14681268764105
62,581,17.06027397260274,0.0,746.4,0.0,0.0,0.0,0.0,6862.55,0.0,161.69831191877927,537.0276730206505,348.3432385752198,210.6582631327705,0.333333333333333,5523.276,505.0377893414111
63,569,6.502739726027397,0.0,328.56,0.0,0.0,0.0,0.0,23804.73,0.0,153.183280969848,1480.9320766962478,413.68417774080626,25.40444639543654,8.0,27589.474,213.29760131059405
64,578,34.086301369863016,0.0,2919.63,0.0,0.0,0.0,0.0,2238.59,0.0,346.1862055050768,1116.7304610535987,675.2584103266596,87.58772962770851,1.5,16202.941,424.98825510166296
65,558,36.16712328767123,0.0,2009.08,0.0,0.0,15369.12,0.0,665.42,0.0,225.94469879180883,880.8761658815747,390.8129815328269,113.60388167226368,1.0,31120.5745,420.0502616331671
66,559,52.16164383561644,0.0,15237.02,0.0,0.0,0.0,0.0,299.85,0.0,132.70074294800872,601.7070880424536,96.21015400009188,20.498937438863468,1.0,24335.593,100.29667776765017
67,556,4.250684931506849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.70658888580014,2529.638483332496,317.91685572545015,211.02640798986383,10.25,15618.306,87.73214365344266
68,557,25.546575342465754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.559136022895,1821.7498590056207,509.3141176837872,46.72981296743311,2.5,37905.556,201.10708436824385
69,562,25.58630136986301,0.0,681.35,0.0,0.0,0.0,0.0,1098.71,0.0,408.12938884372386,663.382650253626,646.0435334117695,195.82877070984424,1.5,29275.857,427.9314629613801
70,563,42.33287671232877,0.0,6416.06,0.0,347.04,2279.59,0.0,9391.04,0.0,208.04009919363557,1075.2393536486952,694.8644990217792,34.42724351725242,0.5,13629.1405,278.4470640654898
