,fid,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,버스_distance,지하철_distance,거주인구,도로길이,경사도_mean
807,3537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.1846024961876,4748.86893860885,762.7512743042131,1430.501677647816,3669.111,97.52528166263376,1.5
808,3536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.134317818426,4848.6484646077615,790.0976659080898,1529.4002894738408,3669.111,0.0,1.0
809,3543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.7039705728465,4150.414307290432,689.8634393537219,842.585905535244,3669.111,127.73537306493168,7.0
810,3542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.4255705857016,4250.1265244466495,770.9212349580534,939.51158755645,3669.111,130.20407109060935,3.0
811,3541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.8224031621999,4349.851938828246,782.2587805290334,1037.0211673628185,3669.111,0.0,0.75
812,3540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0351818285105,4449.589663092414,757.8879820107446,1134.9641595294436,3669.111,0.0,0.333333333333333
813,3547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.6850400820448,3751.7184540230896,357.9472674292608,468.0016912311899,9782.353,0.0,6.5
814,3546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.56069241013347,3851.367088817088,430.5991835560271,558.3521685380119,9782.353,0.0,8.0
815,3545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.5270690469784,3951.0334612192346,512.5474918140471,651.5278725324014,6725.732,0.0,8.0
816,3544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.7132548729338,4050.716261945384,599.9261442407137,746.4716047640034,6725.732,0.0,8.800000000000002
817,3551,4896.27,0.0,0.0,0.0,0.0,0.0,21208.36,0.0,55.9046472708155,3353.3329125908544,211.8560006974716,219.31250102336656,9782.353,0.0,2.0
818,3550,8891.1,0.0,0.0,0.0,0.0,0.0,12916.64,0.0,62.49643347971608,3452.8943308713683,264.94143439254714,246.6375486244611,9782.353,16.028529439368995,2.75
819,3549,8891.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.819184514285224,3552.480367563678,271.19553207487434,305.879144655962,9782.353,143.40694205010834,3.5
820,3548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.95138672443976,3652.089008767061,301.3912731100276,382.4838367003505,9782.353,0.0,5.166666666666668
821,3555,0.0,0.0,0.0,0.0,0.0,0.0,25375.28,0.0,151.77632691450788,2955.383175728809,91.79191554900856,401.62239294247314,42207.692,406.7144951288221,1.0
822,3554,0.0,0.0,0.0,0.0,0.0,0.0,35026.57,0.0,213.72332369571777,3054.8204359336323,110.39592797968184,360.4175800219151,25995.0225,250.3748737972556,2.0
823,3553,0.0,0.0,0.0,0.0,0.0,0.0,41440.93,0.0,240.7018599070317,3154.293255308088,149.13615186940137,287.46016924693254,9782.353,271.1666093919436,2.0
824,3552,0.0,0.0,0.0,0.0,0.0,0.0,15687.28,0.0,149.4814934861311,3253.7983725850822,198.92669425798144,235.2992334804917,9782.353,102.50101585338648,1.5
825,3559,0.0,15167.63,0.0,0.0,2095.04,0.0,179.74,0.0,102.66003818293204,2558.072640951716,120.197895521763,428.0018667277122,3669.111,371.70378192435857,1.5
826,3558,0.0,14091.09,0.0,0.0,0.0,0.0,5700.65,0.0,177.70836803477863,2657.324662085114,138.06099613003735,384.3365024364609,3669.111,217.18198008360687,1.5
827,3557,837.84,2734.4,0.0,0.0,0.0,0.0,8353.93,0.0,93.4469515427744,2756.630723789907,111.40313112323348,363.65279447686765,3669.111,243.31203955600583,1.5
828,3556,0.0,0.0,0.0,0.0,0.0,0.0,11642.28,0.0,76.70894689091352,2855.9851888999497,20.451791835040712,369.8270155067424,22938.4015,407.2650024104464,1.0
829,3563,0.0,2397.23,0.0,0.0,0.0,0.0,13809.88,0.0,287.01384108331905,2161.753775454063,128.2712836607595,337.7312757320364,3669.111,405.1332990526768,1.0
830,3562,0.0,2300.07,0.0,0.0,0.0,0.0,8679.02,0.0,241.45308363820763,2260.7119789923777,146.66131584118835,437.3483076640967,3669.111,468.5913437942552,1.0
831,3561,0.0,4596.42,0.0,0.0,0.0,0.0,18612.5548,0.0,149.59799855353762,2359.7579923594503,199.2279370553209,537.1075607011808,3669.111,400.6548005531334,1.666666666666667
832,3560,0.0,5989.01,0.0,0.0,0.0,0.0,27667.1997,0.0,80.37034145280147,2458.881204389977,130.65114310962684,488.5248278060636,3669.111,369.18478369790256,1.5
833,3567,0.0,5372.19,0.0,0.0,0.0,3370.69,9377.26,2910.43,289.7948863751636,1767.0939316551724,94.03144949309436,72.22550465253694,3186.9935,350.9611207612869,0.5
