,grid,rank
1515,1530,668
968,8944,669
1364,1816,670
1568,1386,671
553,3204,672
2224,7792,673
1461,1102,674
18,2441,675
1258,1553,676
1523,1280,677
2666,4707,678
2277,8058,679
1127,8240,680
3400,6068,681
2305,7362,682
1225,1727,683
1971,6205,684
414,4016,685
991,8764,686
1328,1992,687
2865,4266,688
1409,1912,689
1484,1446,690
1259,1552,691
997,8774,692
1140,8595,693
1286,1638,694
1401,1904,695
1569,1385,696
1435,1209,697
1252,1551,698
948,8860,699
3295,5683,700
1084,8328,701
1119,8233,702
1370,1826,703
1076,8321,704
1865,6293,705
939,8854,706
3751,5617,707
1254,1549,708
1505,1465,709
1509,1469,710
1516,1535,711
1536,1298,712
792,3502,713
1357,1815,714
1570,1384,715
3926,2794,716
1255,1548,717
2159,6507,718
1475,1112,719
2674,4715,720
1287,1637,721
1436,1208,722
37,2495,723
778,3485,724
3467,5938,725
1163,8683,726
118,2343,727
3569,5338,728
1537,1297,729
1299,1648,730
990,8765,731
1940,6146,732
2042,6572,733
1407,1914,734
119,2342,735
267,3827,736
383,3991,737
1567,1380,738
1718,7082,739
938,8855,740
1394,1903,741
61,2519,742
830,3562,743
1251,1544,744
1480,1121,745
1525,1286,746
132,2353,747
233,3764,748
1408,1913,749
1503,1467,750
2732,5069,751
279,3839,752
27,2448,753
301,3626,754
2813,4971,755
1538,1296,756
1329,1999,757
1377,1880,758
806,3538,759
2477,7437,760
174,2431,761
1430,1207,762
175,2430,763
970,8950,764
1504,1466,765
524,3920,766
1336,2000,767
1694,6754,768
451,4081,769
2331,7384,770
3804,5439,771
1321,1991,772
2575,4796,773
2781,4892,774
1652,6672,775
3293,5677,776
17,2442,777
1249,1546,778
1283,1633,779
2627,4628,780
68,2520,781
2766,4883,782
1222,1722,783
1335,2001,784
2775,4890,785
996,8775,786
2574,4797,787
176,2429,788
1135,8587,789
63,2517,790
2582,4805,791
401,4005,792
1542,1357,793
989,8766,794
3433,6135,795
1304,1968,796
1162,8676,797
1226,1726,798
1281,1635,799
3564,5335,800
74,2530,801
1096,8410,802
1481,1120,803
3039,4534,804
2536,7541,805
3462,5935,806
1276,1624,807
1228,1724,808
2797,4955,809
324,3651,810
1532,1295,811
62,2518,812
1497,1457,813
1506,1464,814
2733,5068,815
416,4022,816
3674,5511,817
1431,1206,818
3084,4353,819
1353,1811,820
3145,4446,821
2719,5058,822
1075,8322,823
1250,1545,824
944,8856,825
3088,4357,826
3727,5593,827
38,2494,828
800,3528,829
1499,1463,830
1562,1377,831
84,2536,832
1498,1456,833
1136,8591,834
1161,8677,835
3196,5780,836
988,8767,837
1215,1713,838
1502,1460,839
1191,8505,840
1248,1547,841
2730,5071,842
1083,8329,843
3183,5769,844
3567,5332,845
291,3615,846
515,3913,847
967,8945,848
1501,1461,849
1184,8499,850
1282,1634,851
1322,1990,852
1559,1372,853
2774,4891,854
3793,5426,855
1221,1723,856
2124,6470,857
1437,1271,858
3986,2617,859
769,3478,860
533,3935,861
932,3449,862
2123,6471,863
1533,1294,864
1227,1725,865
2434,7614,866
1358,1814,867
1491,1455,868
2138,6480,869
1139,8588,870
1550,1365,871
1937,6397,872
1288,1636,873
120,2341,874
950,8864,875
121,2340,876
2171,7881,877
1037,1015,878
1442,1272,879
1644,6664,880
2773,4884,881
1360,1812,882
1972,6204,883
2568,4795,884
709,3143,885
1035,944,886
1396,1901,887
2583,4804,888
1420,1193,889
3803,5432,890
1476,1119,891
3302,5684,892
1334,2002,893
1560,1379,894
1142,8593,895
3566,5333,896
1549,1366,897
1610,6848,898
924,3441,899
1244,1543,900
1492,1454,901
1467,1104,902
1432,1205,903
1919,6383,904
2424,7558,905
1346,1802,906
2172,7880,907
3038,4535,908
710,3142,909
2511,7475,910
1456,1032,911
1441,1273,912
445,4079,913
3417,6119,914
481,3856,915
131,2354,916
452,4080,917
1874,6300,918
3045,4536,919
1440,1274,920
1548,1367,921
2621,4626,922
2438,7618,923
1160,8678,924
146,2403,925
1439,1275,926
2742,5083,927
1395,1902,928
424,4030,929
3792,5427,930
1095,8411,931
1544,1363,932
496,3892,933
539,3937,934
1561,1378,935
3324,5710,936
264,3822,937
1713,6774,938
3474,5947,939
1359,1813,940
1138,8589,941
1410,1916,942
1190,8506,943
1246,1541,944
3987,2616,945
1446,1276,946
1468,1111,947
1529,1290,948
410,4012,949
1284,1632,950
1494,1452,951
1540,1359,952
716,3144,953
1613,6853,954
2869,4270,955
1247,1540,956
1496,1458,957
306,3629,958
1016,926,959
1970,6206,960
1099,8413,961
1455,1033,962
1445,1277,963
1555,1368,964
1921,6381,965
1269,1623,966
177,2428,967
1186,8502,968
1397,1900,969
3493,5960,970
730,3181,971
1477,1118,972
3163,4460,973
3754,5622,974
1188,8500,975
1543,1356,976
1495,1459,977
1485,1445,978
574,3231,979
2243,8147,980
1223,1721,981
1745,7111,982
1703,6761,983
64,2516,984
3925,2795,985
427,4032,986
1277,1631,987
1545,1362,988
575,3230,989
130,2355,990
2063,6598,991
377,3981,992
1517,1534,993
1444,1278,994
1458,1098,995
2432,7564,996
1451,1031,997
1530,1289,998
1759,7121,999
86,2559,1000
1323,1989,1001
3675,5510,1002
1117,8235,1003
1097,8415,1004
1563,1376,1005
1031,943,1006
3380,6048,1007
1438,1270,1008
1758,7122,1009
3747,5613,1010
783,3488,1011
142,2365,1012
1270,1622,1013
1278,1630,1014
1240,1539,1015
1539,1355,1016
1556,1375,1017
16,2443,1018
340,3667,1019
711,3141,1020
3676,5509,1021
715,3145,1022
2622,4625,1023
1104,8416,1024
1080,8324,1025
2519,7526,1026
1224,1720,1027
3089,4356,1028
1546,1361,1029
1209,1711,1030
1486,1444,1031
1864,6294,1032
2553,4778,1033
1354,1810,1034
1279,1629,1035
1551,1364,1036
1412,1186,1037
1487,1451,1038
1488,1450,1039
2338,7175,1040
1333,2003,1041
1691,6749,1042
3238,5853,1043
234,3768,1044
1413,1185,1045
1478,1117,1046
446,4078,1047
1443,1279,1048
2727,5066,1049
73,2531,1050
1245,1542,1051
1324,1988,1052
3291,5679,1053
775,3480,1054
842,3574,1055
2334,7171,1056
3189,5779,1057
1981,6219,1058
1390,1899,1059
1518,1533,1060
2750,4867,1061
3215,5801,1062
530,3930,1063
1493,1453,1064
1806,6993,1065
114,2339,1066
1490,1448,1067
2265,7975,1068
1054,833,1069
3805,5438,1070
995,8768,1071
2983,4181,1072
1280,1628,1073
1411,1187,1074
1217,1719,1075
2570,4793,1076
1902,6328,1077
4336,2083,1078
2541,7544,1079
3315,5703,1080
423,4031,1081
3138,4437,1082
31,2487,1083
1936,6398,1084
29,2452,1085
280,3838,1086
1417,1188,1087
3144,4447,1088
278,3832,1089
3616,5159,1090
2453,7635,1091
1210,1710,1092
1355,1809,1093
3671,5506,1094
2254,8152,1095
1459,1097,1096
641,3319,1097
681,3115,1098
793,3501,1099
384,3990,1100
642,3318,1101
1056,837,1102
1271,1621,1103
1416,1189,1104
1452,1030,1105
868,3360,1106
2726,5067,1107
3752,5616,1108
2280,8063,1109
718,3148,1110
1216,1712,1111
250,3804,1112
1032,942,1113
4342,2085,1114
1218,1718,1115
2922,4348,1116
3595,5132,1117
230,3767,1118
2246,8144,1119
1120,8239,1120
1554,1369,1121
3463,5934,1122
1317,1987,1123
1391,1898,1124
2166,6508,1125
3047,4542,1126
2038,6568,1127
494,3894,1128
781,3490,1129
1070,855,1130
3605,5146,1131
2728,5065,1132
3246,5861,1133
3000,4196,1134
1987,6221,1135
