,대여소번호,일별평균이용량,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이
417,345.0,52.454794520547935,0.0,4705.36,19324.58,0.0,116781.69,0.0,254.54,0.0,272.236039629857,677.236419763797,282.765694043049,125.408016489935,1.5,2883,355.460734952888
418,1221.0,73.75753424657535,0.0,7893.98,0.0,3814.44,3783.61,0.0,39744.5278,0.0,117.266512843312,4215.23128386215,839.748838268716,59.412563958620204,0.0,34913,621.654894272718
419,1332.0,71.26849315068493,0.0,4874.11,0.0,0.0,5436.44,6408.1,2756.31,0.0,209.42822278697898,885.396663756189,140.267466640475,60.9249771917075,0.666666666666667,16956,903.6712113716029
420,3523.0,42.728767123287675,57876.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.84003170128403,317.818577743387,723.327026053652,322.92992269514303,1.5,19541,0.0
421,2355.0,59.25205479452055,0.0,871.77,8085.46,138776.47,0.0,0.0,495.9,0.0,738.5915424509,3896.06126687841,81.2752940207237,78.2876032255142,1.0,24734,365.028632202182
422,735.0,73.85205479452055,30498.68,6856.22,0.0,0.0,0.0,0.0,21450.69,0.0,196.46634853094503,2033.6964467062699,1204.0269017662101,100.94735506313499,1.8333333333333302,33817,407.091067385141
423,2016.0,65.83698630136986,671.92,18813.93,0.0,1000.23,10593.82,0.0,8290.72,0.0,301.38996912990297,2665.3316316584196,104.701493922409,34.6325729995963,2.0,31323,1180.96876281056
424,2070.0,64.17397260273971,27255.26,6344.79,0.0,0.0,6216.0,0.0,970.91,0.0,495.599484912342,1599.6146056459602,63.7034149977654,27.118185700844304,0.5,16412,321.23566080645
425,1224.0,60.97945205479452,0.0,1701.19,0.0,0.0,13603.18,0.0,58681.3,0.0,306.842537507739,3351.76778058141,485.622183697825,67.7167955654417,0.0,39136,361.349109490726
426,307.0,49.7027397260274,2856.89,1413.2,20973.54,0.0,98666.7,0.0,299.6,0.0,220.141677586213,488.51129695149496,504.982997601808,26.275296113754898,2.6,4663,328.70301256070303
