,fid,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이,sum,LUM
727,1234,639.5421563531916,473.40107657762826,656.0775124244844,248.92585471687823,3.5,2825,306.988313674544,6443.235,0.036201544149437506
728,1235,738.4873326561784,376.05064674726594,561.4134732888064,177.64448562446705,3.5,2825,461.759372604836,7154.96,0.0
729,1236,827.6247974121702,280.5693017926786,468.9690862065935,145.43237709117642,3.5,11245,252.860890777789,34833.36,0.0
730,1237,815.7138670345464,189.79913559803447,380.36620484803,138.1393156327676,2.5,8420,0.0,35694.9,0.0
731,1238,815.9748409734322,115.44620052253008,299.03917118700247,166.2683300373375,1.5,8420,0.0,24781.95,0.0
732,1239,773.6513892202726,103.1090351581168,232.7443493694872,210.4853878556912,1.5,8420,0.0,24781.95,0.0
733,1240,696.6250508253096,167.13663758255916,197.26877240576616,174.64706181644962,1.5,8420,12.818320914500502,7660.85,0.0
734,1241,626.127775305429,255.41607758546,208.9486422826844,142.13256835812828,1.0,23398,99.2673215235137,24462.03,0.1355027757019279
735,1242,564.6105389987753,350.0566016091431,261.5408797901016,155.83688234768346,0.5,23398,0.0,0.0,0.0
736,1243,515.2995931104094,447.0362519375644,336.3736889741321,210.0989746188104,0.0,14978,0.0,20347.55,0.0
737,1244,481.95624359598486,545.1079996990552,421.7705722425137,192.9852262509924,0.0,14978,110.737024600537,0.0,0.0
738,1245,468.0058877776685,643.7729310092374,512.4774167975131,153.61552895748605,0.0,14978,0.0,0.0,0.0
739,1246,475.15970096210657,737.8348613865047,606.114939585219,123.54955827350894,0.5,14978,55.6252552126648,146.61,0.0
740,1247,502.5171758333582,815.919044318396,701.510561142768,73.35457097262545,1.0,14978,121.744159713244,247.93,0.0
741,1248,405.552561813876,898.3579640146651,798.0340499883932,124.4862524192634,1.0,14978,0.0,1804.9599999999998,0.13041248409957865
742,1249,306.2570506018765,984.057781103032,895.3206982012331,213.57035193220003,2.0,14978,0.0,0.0,0.0
743,1250,207.6377023492,1072.2368870812247,993.1462583441726,187.96177161139923,5.0,14978,0.0,0.0,0.0
