,grid,rank
866,1390,1255
560,993,1256
954,1483,1257
925,1454,1258
1279,1848,1259
1660,2297,1260
1482,2083,1261
1065,1605,1262
1938,2621,1263
222,511,1264
419,801,1265
1170,1723,1266
1357,1941,1267
1779,2434,1268
2343,3143,1269
455,837,1270
1265,1834,1271
145,360,1272
2124,2850,1273
1702,2339,1274
1864,2537,1275
703,1209,1276
1367,1951,1277
1368,1952,1278
1772,2427,1279
453,835,1280
594,1047,1281
1298,1875,1282
1168,1721,1283
668,1161,1284
726,1233,1285
1526,2136,1286
674,1167,1287
343,693,1288
619,1072,1289
917,1446,1290
1524,2134,1291
878,1402,1292
754,1268,1293
1105,1651,1294
1488,2089,1295
13,96,1296
285,596,1297
496,894,1298
1605,2233,1299
2077,2792,1300
903,1427,1301
1245,1814,1302
715,1222,1303
2340,3140,1304
2530,3446,1305
941,1470,1306
970,1504,1307
2303,3082,1308
213,480,1309
2222,2971,1310
1766,2421,1311
1076,1622,1312
1928,2611,1313
392,758,1314
1429,2021,1315
1981,2675,1316
412,778,1317
708,1215,1318
177,419,1319
580,1013,1320
939,1468,1321
1399,1991,1322
1343,1927,1323
271,582,1324
516,931,1325
2076,2791,1326
2085,2800,1327
1264,1833,1328
1316,1893,1329
514,929,1330
1574,2193,1331
503,918,1332
1159,1712,1333
1396,1988,1334
675,1168,1335
1077,1623,1336
344,694,1337
588,1041,1338
1812,2476,1339
301,634,1340
1288,1865,1341
2257,3020,1342
1209,1770,1343
884,1408,1344
1240,1809,1345
2021,2725,1346
771,1285,1347
1664,2301,1348
337,687,1349
624,1098,1350
583,1036,1351
1248,1817,1352
2123,2849,1353
2433,3279,1354
1503,2113,1355
391,757,1356
2262,3025,1357
1293,1870,1358
762,1276,1359
1340,1917,1360
1255,1824,1361
779,1293,1362
1378,1962,1363
1309,1886,1364
1548,2158,1365
1839,2503,1366
2213,2962,1367
1186,1747,1368
2168,2905,1369
772,1286,1370
926,1455,1371
598,1051,1372
1160,1713,1373
1633,2261,1374
749,1262,1375
2347,3147,1376
1419,2011,1377
457,839,1378
1373,1957,1379
1523,2133,1380
1771,2426,1381
979,1513,1382
1918,2601,1383
1049,1589,1384
1427,2019,1385
1583,2202,1386
720,1227,1387
286,597,1388
1241,1810,1389
1862,2535,1390
498,896,1391
2274,3037,1392
981,1515,1393
1725,2371,1394
1287,1856,1395
559,992,1396
1030,1570,1397
904,1428,1398
2422,3268,1399
474,872,1400
1685,2322,1401
1496,2097,1402
1576,2195,1403
1868,2541,1404
1051,1591,1405
982,1516,1406
1426,2018,1407
1283,1852,1408
375,741,1409
788,1302,1410
1445,2037,1411
1622,2250,1412
1102,1648,1413
1512,2122,1414
1940,2623,1415
697,1190,1416
1599,2218,1417
1476,2077,1418
1033,1573,1419
1381,1965,1420
827,1346,1421
1884,2557,1422
721,1228,1423
823,1342,1424
247,536,1425
1104,1650,1426
1034,1574,1427
811,1330,1428
1547,2157,1429
