,grid,rank
1214,1775,626
2030,2734,627
1968,2662,628
890,1414,629
1449,2050,630
1718,2364,631
344,694,632
1218,1779,633
904,1428,634
1200,1761,635
1550,2169,636
263,574,637
1462,2063,638
1140,1693,639
1820,2484,640
1833,2497,641
62,217,642
1919,2602,643
2499,3391,644
1275,1844,645
1379,1963,646
1720,2366,647
1986,2680,648
2302,3081,649
217,506,650
640,1114,651
727,1234,652
1834,2498,653
2034,2738,654
2306,3085,655
1150,1703,656
1659,2296,657
216,505,658
1916,2599,659
341,691,660
603,1056,661
2257,3020,662
1450,2051,663
884,1408,664
1199,1760,665
1406,1998,666
1274,1843,667
1619,2247,668
2207,2956,669
2422,3268,670
671,1164,671
1201,1762,672
942,1471,673
1320,1897,674
116,331,675
828,1347,676
1092,1638,677
1099,1645,678
681,1174,679
1269,1838,680
2223,2972,681
2083,2798,682
1116,1662,683
1778,2433,684
935,1464,685
332,682,686
93,279,687
1117,1663,688
1890,2563,689
1884,2557,690
1253,1822,691
252,563,692
992,1526,693
1252,1821,694
1726,2372,695
1863,2536,696
1822,2486,697
1823,2487,698
189,456,699
894,1418,700
1067,1607,701
704,1210,702
819,1338,703
1085,1631,704
1421,2013,705
339,689,706
2087,2802,707
827,1346,708
1839,2503,709
2176,2913,710
2178,2915,711
1224,1785,712
1316,1893,713
1468,2069,714
1775,2430,715
1098,1644,716
228,517,717
1429,2021,718
1830,2494,719
943,1472,720
2457,3326,721
586,1039,722
1173,1726,723
1370,1954,724
1815,2479,725
2211,2960,726
552,985,727
2526,3442,728
2267,3030,729
717,1224,730
1420,2012,731
1881,2554,732
551,984,733
990,1524,734
1063,1603,735
63,218,736
306,639,737
502,917,738
1765,2420,739
638,1112,740
268,579,741
1321,1898,742
1519,2129,743
2177,2914,744
2214,2963,745
764,1278,746
592,1045,747
1677,2314,748
2132,2858,749
1473,2074,750
974,1508,751
2080,2795,752
635,1109,753
1869,2542,754
2160,2897,755
770,1284,756
1866,2539,757
2114,2840,758
1819,2483,759
1525,2135,760
1569,2188,761
1436,2028,762
1676,2313,763
1457,2058,764
1276,1845,765
370,736,766
686,1179,767
774,1288,768
759,1273,769
503,918,770
645,1119,771
826,1345,772
1170,1723,773
1931,2614,774
2060,2775,775
377,743,776
2458,3327,777
1936,2619,778
195,462,779
1837,2501,780
2268,3031,781
193,460,782
1271,1840,783
158,400,784
677,1170,785
1038,1578,786
2076,2791,787
2341,3141,788
354,704,789
1358,1942,790
