대여소번호,총대여건수,총반납건수,총이용량,19년도총이용량,20년도총이용량,유지기간,일별평균이용량,일별대여평균이용량,일별반납평균이용량
2174.0,12590.0,10681.0,23271.0,10719.0,12552.0,730.0,31.878082191780823,17.246575342465754,14.631506849315068
2175.0,11529.0,10386.0,21915.0,5352.0,16563.0,730.0,30.02054794520548,15.793150684931506,14.227397260273973
2176.0,26790.0,24064.0,50854.0,21910.0,28944.0,730.0,69.66301369863014,36.6986301369863,32.964383561643835
2177.0,76025.0,70104.0,146129.0,60279.0,85850.0,730.0,200.1767123287671,104.14383561643835,96.03287671232877
2178.0,9740.0,7336.0,17076.0,8939.0,8137.0,730.0,23.39178082191781,13.342465753424657,10.04931506849315
2179.0,16003.0,14570.0,30573.0,13029.0,17544.0,730.0,41.88082191780822,21.921917808219177,19.958904109589042
2183.0,73196.0,65553.0,138749.0,63605.0,75144.0,730.0,190.06712328767122,100.26849315068493,89.7986301369863
2184.0,4081.0,2933.0,7014.0,3740.0,3274.0,730.0,9.608219178082193,5.590410958904109,4.017808219178082
2185.0,11165.0,9433.0,20598.0,4843.0,15755.0,462.0,44.58441558441559,24.166666666666668,20.417748917748916
2201.0,2881.0,2393.0,5274.0,2881.0,2393.0,730.0,7.2246575342465755,3.9465753424657533,3.278082191780822
2202.0,19277.0,17792.0,37069.0,20766.0,16303.0,730.0,50.77945205479452,26.40684931506849,24.372602739726027
2203.0,4297.0,2781.0,7078.0,2911.0,4167.0,730.0,9.695890410958905,5.8863013698630136,3.8095890410958906
2205.0,9091.0,7449.0,16540.0,7904.0,8636.0,730.0,22.65753424657534,12.453424657534246,10.204109589041096
2206.0,15290.0,13794.0,29084.0,14603.0,14481.0,730.0,39.84109589041096,20.945205479452056,18.895890410958906
2207.0,2286.0,1575.0,3861.0,1987.0,1874.0,730.0,5.289041095890411,3.1315068493150684,2.1575342465753424
2210.0,6979.0,4683.0,11662.0,5738.0,5924.0,730.0,15.975342465753425,9.56027397260274,6.4150684931506845
2211.0,13279.0,10892.0,24171.0,12626.0,11545.0,730.0,33.11095890410959,18.19041095890411,14.92054794520548
2212.0,7299.0,5700.0,12999.0,6988.0,6011.0,730.0,17.806849315068494,9.998630136986302,7.808219178082192
2213.0,21515.0,13009.0,34524.0,15911.0,18613.0,730.0,47.293150684931504,29.472602739726028,17.82054794520548
2214.0,20497.0,17574.0,38071.0,18649.0,19422.0,730.0,52.152054794520545,28.078082191780823,24.073972602739726
2215.0,12476.0,10527.0,23003.0,11377.0,11626.0,730.0,31.51095890410959,17.09041095890411,14.42054794520548
2217.0,41009.0,38579.0,79588.0,33339.0,46249.0,730.0,109.02465753424657,56.176712328767124,52.847945205479455
2219.0,96138.0,86564.0,182702.0,89230.0,93472.0,730.0,250.27671232876713,131.6958904109589,118.58082191780822
2220.0,40699.0,38982.0,79681.0,33164.0,46517.0,730.0,109.15205479452055,55.75205479452055,53.4
2221.0,19629.0,19224.0,38853.0,17637.0,21216.0,730.0,53.223287671232875,26.889041095890413,26.334246575342465
2222.0,27957.0,31314.0,59271.0,28078.0,31193.0,730.0,81.19315068493151,38.297260273972604,42.895890410958906
2223.0,5896.0,6175.0,12071.0,5657.0,6414.0,730.0,16.535616438356165,8.076712328767123,8.45890410958904
2225.0,3255.0,1748.0,5003.0,2805.0,2198.0,730.0,6.853424657534247,4.458904109589041,2.3945205479452056
2226.0,3469.0,938.0,4407.0,2295.0,2112.0,730.0,6.036986301369863,4.752054794520548,1.284931506849315
2227.0,14558.0,13827.0,28385.0,15792.0,12593.0,730.0,38.88356164383562,19.942465753424656,18.94109589041096
2228.0,23005.0,23254.0,46259.0,22201.0,24058.0,730.0,63.368493150684934,31.513698630136986,31.854794520547944
2229.0,5623.0,5344.0,10967.0,5605.0,5362.0,730.0,15.023287671232877,7.7027397260273975,7.32054794520548
2230.0,29516.0,27435.0,56951.0,30878.0,26073.0,730.0,78.01506849315068,40.43287671232877,37.582191780821915
2231.0,27112.0,25731.0,52843.0,28827.0,24016.0,730.0,72.38767123287671,37.13972602739726,35.24794520547945
2233.0,10566.0,8391.0,18957.0,10489.0,8468.0,730.0,25.96849315068493,14.473972602739726,11.494520547945205
2235.0,9527.0,6355.0,15882.0,8317.0,7565.0,730.0,21.756164383561643,13.050684931506849,8.705479452054794
2237.0,14262.0,7842.0,22104.0,11081.0,11023.0,730.0,30.279452054794522,19.53698630136986,10.742465753424657
2239.0,9382.0,8316.0,17698.0,10012.0,7686.0,730.0,24.243835616438357,12.852054794520548,11.391780821917807
2241.0,6246.0,5454.0,11700.0,6392.0,5308.0,730.0,16.027397260273972,8.556164383561644,7.471232876712329
2242.0,15642.0,13854.0,29496.0,14958.0,14538.0,730.0,40.40547945205479,21.427397260273974,18.97808219178082
2243.0,12084.0,9230.0,21314.0,12093.0,9221.0,730.0,29.197260273972603,16.553424657534247,12.643835616438356
2244.0,18904.0,16885.0,35789.0,20264.0,15525.0,98.0,365.1938775510204,192.89795918367346,172.29591836734693
2245.0,9342.0,8625.0,17967.0,9464.0,8503.0,730.0,24.612328767123287,12.797260273972602,11.815068493150685
2246.0,10416.0,9920.0,20336.0,10169.0,10167.0,730.0,27.85753424657534,14.26849315068493,13.58904109589041
2247.0,22571.0,20901.0,43472.0,20618.0,22854.0,730.0,59.55068493150685,30.91917808219178,28.63150684931507
2248.0,6827.0,5540.0,12367.0,7240.0,5127.0,730.0,16.94109589041096,9.352054794520548,7.589041095890411
2249.0,4523.0,3411.0,7934.0,3676.0,4258.0,730.0,10.868493150684932,6.195890410958904,4.6726027397260275
2250.0,10460.0,8876.0,19336.0,7897.0,11439.0,730.0,26.487671232876714,14.32876712328767,12.158904109589042
2251.0,13964.0,13529.0,27493.0,12954.0,14539.0,730.0,37.66164383561644,19.12876712328767,18.53287671232877
2252.0,23553.0,20830.0,44383.0,22485.0,21898.0,730.0,60.798630136986304,32.26438356164383,28.534246575342465
2255.0,31040.0,28680.0,59720.0,31199.0,28521.0,730.0,81.8082191780822,42.52054794520548,39.28767123287671
2256.0,7872.0,7428.0,15300.0,7264.0,8036.0,730.0,20.958904109589042,10.783561643835617,10.175342465753424
2257.0,3324.0,3083.0,6407.0,2993.0,3414.0,730.0,8.776712328767124,4.553424657534246,4.223287671232876
2258.0,4900.0,3482.0,8382.0,4708.0,3674.0,730.0,11.482191780821918,6.712328767123288,4.76986301369863
2259.0,15302.0,13496.0,28798.0,14264.0,14534.0,730.0,39.44931506849315,20.96164383561644,18.487671232876714
2262.0,44950.0,42894.0,87844.0,39803.0,48041.0,730.0,120.33424657534246,61.57534246575342,58.75890410958904
